date,location,sales,payment_method
2023-10-03,São Paulo,1216,voucher
2023-06-01,Barcelona,3692,mobile payment
2023-07-27,Mumbai,4598,cryptocurrency
2023-10-01,Lagos,1572,cryptocurrency
2023-04-09,Mumbai,2105,cash
2023-02-09,Amsterdam,1600,voucher
2023-10-26,Seoul,2995,cryptocurrency
2023-12-13,Mumbai,1666,bank transfer
2023-05-13,Berlin,4381,mobile payment
2023-01-25,Cairo,3818,bank transfer
2023-07-25,Bangkok,2100,voucher
2023-08-30,Seoul,530,bank transfer
2023-06-01,São Paulo,3925,credit card
2023-06-07,Sydney,2838,bank transfer
2023-05-10,Dubai,4281,debit card
2023-08-10,Mexico City,1954,mobile payment
2023-02-07,Lagos,2400,debit card
2023-08-26,Rome,501,mobile payment
2023-01-15,Barcelona,3763,debit card
2023-02-08,Amsterdam,3986,cash
2023-06-15,Mumbai,2471,debit card
2023-08-16,Rome,1557,voucher
2023-08-22,Istanbul,1864,cash
2023-09-27,São Paulo,2200,mobile payment
2023-02-13,Moscow,4164,debit card
2023-03-28,Seoul,4942,bank transfer
2023-02-22,Mumbai,2652,mobile payment
2023-04-14,Moscow,3529,cash
2023-06-30,Toronto,123,voucher
2023-10-17,Toronto,2244,mobile payment
2023-12-19,Lagos,984,debit card
2023-10-29,Toronto,2661,cryptocurrency
2023-08-18,Cairo,578,voucher
2023-04-12,Toronto,1064,bank transfer
2023-04-28,Mumbai,1198,cryptocurrency
2023-10-11,Berlin,3743,cryptocurrency
2023-11-17,Paris,4855,mobile payment
2023-03-21,Tokyo,2752,voucher
2023-07-06,Moscow,3876,bank transfer
2023-09-15,London,2039,voucher
2023-08-21,Cairo,1760,mobile payment
2023-11-05,New York,2060,credit card
2023-05-15,London,461,credit card
2023-12-06,Tokyo,3584,cryptocurrency
2023-07-12,New York,622,cryptocurrency
2023-12-13,Tokyo,1205,cryptocurrency
2023-05-12,Barcelona,3054,debit card
2023-08-01,Tokyo,2311,cash
2023-01-23,Sydney,2165,cryptocurrency
2023-04-03,Tokyo,4653,credit card
2023-01-22,São Paulo,3862,credit card
2023-07-24,Paris,2766,credit card
2023-01-30,Mumbai,4422,voucher
2023-11-23,Rome,3220,cash
2023-04-06,São Paulo,2329,credit card
2023-04-10,Istanbul,4741,credit card
2023-01-15,Sydney,1252,mobile payment
2023-05-14,Lagos,524,debit card
2023-11-23,Cairo,1590,cash
2023-05-22,Mumbai,4803,bank transfer
2023-07-26,Istanbul,3241,mobile payment
2023-09-20,Toronto,1805,voucher
2023-04-26,Cairo,1683,cash
2023-03-12,Amsterdam,4897,mobile payment
2023-02-25,Bangkok,4085,credit card
2023-08-08,Bangkok,2191,mobile payment
2023-10-14,New York,4973,cryptocurrency
2023-06-03,Mexico City,1244,bank transfer
2023-06-29,Moscow,198,mobile payment
2023-06-21,Lagos,4664,cash
2023-04-01,New York,460,bank transfer
2023-01-15,Berlin,3714,voucher
2023-08-27,Seoul,2137,cryptocurrency
2023-01-25,Paris,2035,cash
2023-02-04,Tokyo,4597,cash
2023-07-24,Sydney,2826,mobile payment
2023-10-23,Moscow,1738,debit card
2023-04-30,New York,3956,voucher
2023-03-23,Dubai,2540,cryptocurrency
2023-08-11,Paris,757,credit card
2023-03-11,Mexico City,2260,voucher
2023-07-14,Paris,1649,credit card
2023-04-01,Seoul,4759,mobile payment
2023-06-25,Toronto,818,cryptocurrency
2023-12-13,Seoul,307,voucher
2023-01-01,Barcelona,775,mobile payment
2023-02-06,London,2519,credit card
2023-01-06,Berlin,3409,mobile payment
2023-08-04,New York,211,bank transfer
2023-06-11,Bangkok,2902,credit card
2023-11-28,Cairo,4444,mobile payment
2023-01-08,Amsterdam,4923,voucher
2023-10-01,New York,3635,voucher
2023-12-05,Seoul,304,mobile payment
2023-05-26,New York,2412,voucher
2023-05-22,Tokyo,3197,bank transfer
2023-10-10,Mexico City,2545,credit card
2023-11-22,Toronto,1749,cash
2023-01-13,São Paulo,4209,cryptocurrency
2023-02-01,Dubai,77,debit card
2023-11-26,Cairo,1406,cash
2023-12-11,Moscow,3287,cash
2023-06-29,Moscow,688,credit card
2023-01-02,Sydney,3659,cash
2023-09-04,Rome,312,cash
2023-07-12,Mumbai,993,credit card
2023-04-02,Berlin,3429,mobile payment
2023-01-09,Amsterdam,4390,voucher
2023-11-06,Paris,1995,credit card
2023-02-16,New York,3891,mobile payment
2023-08-28,Bangkok,1265,cash
2023-08-01,Sydney,3437,cash
2023-08-09,Paris,2491,cryptocurrency
2023-01-05,Moscow,46,cryptocurrency
2023-04-11,Mumbai,2987,credit card
2023-07-13,Toronto,2929,credit card
2023-08-19,Istanbul,4075,debit card
2023-07-14,Cairo,2851,cash
2023-05-26,New York,3645,bank transfer
2023-08-30,Moscow,2942,mobile payment
2023-09-22,São Paulo,1680,voucher
2023-07-18,Lagos,3141,bank transfer
2023-06-23,Barcelona,4902,debit card
2023-11-24,Rome,1401,debit card
2023-01-30,Dubai,4882,bank transfer
2023-01-25,Barcelona,2933,voucher
2023-05-26,London,1180,debit card
2023-07-20,Mumbai,3366,voucher
2023-05-24,Cairo,3946,bank transfer
2023-09-09,Cairo,4076,debit card
2023-11-14,Mexico City,4679,credit card
2023-01-13,São Paulo,3029,credit card
2023-02-04,Istanbul,2276,voucher
2023-09-26,Rome,3752,credit card
2023-03-24,Amsterdam,2596,bank transfer
2023-09-13,Dubai,4894,mobile payment
2023-05-13,Tokyo,1653,cryptocurrency
2023-10-17,Istanbul,4028,voucher
2023-11-29,Mumbai,2592,voucher
2023-09-22,Amsterdam,3151,mobile payment
2023-06-26,Moscow,1246,cash
2023-05-27,Sydney,4961,debit card
2023-04-28,Seoul,2991,cryptocurrency
2023-09-06,Dubai,2585,cash
2023-02-17,Sydney,31,debit card
2023-08-28,Istanbul,2960,voucher
2023-03-24,New York,3683,credit card
2023-06-04,Sydney,1103,mobile payment
2023-04-08,Paris,4040,debit card
2023-10-05,Cairo,348,voucher
2023-01-28,Bangkok,3511,mobile payment
2023-05-24,Mumbai,931,mobile payment
2023-02-22,Amsterdam,3711,cryptocurrency
2023-11-23,Amsterdam,4829,cash
2023-08-01,Berlin,2881,cryptocurrency
2023-10-03,Cairo,4838,debit card
2023-07-05,Berlin,982,cryptocurrency
2023-05-31,Mumbai,1491,debit card
2023-09-13,Seoul,3573,voucher
2023-05-16,Mumbai,2864,voucher
2023-02-22,Rome,1246,cryptocurrency
2023-05-08,Mumbai,3306,cryptocurrency
2023-02-04,Seoul,1455,voucher
2023-03-30,Mumbai,2912,cash
2023-05-22,Tokyo,1524,debit card
2023-08-02,Berlin,671,mobile payment
2023-04-24,New York,1340,cash
2023-06-03,Amsterdam,361,voucher
2023-01-26,Lagos,550,credit card
2023-06-30,São Paulo,2430,mobile payment
2023-05-02,Mumbai,1595,voucher
2023-08-03,Berlin,2171,mobile payment
2023-10-08,Mexico City,4220,voucher
2023-12-03,Mexico City,643,voucher
2023-08-29,Toronto,4185,debit card
2023-06-25,Paris,449,credit card
2023-07-03,Istanbul,2348,cash
2023-12-29,Dubai,1070,credit card
2023-04-10,Cairo,4258,voucher
2023-07-17,Moscow,4750,voucher
2023-02-14,Moscow,1926,bank transfer
2023-01-06,Sydney,4497,cryptocurrency
2023-04-12,Istanbul,2591,cash
2023-12-24,Lagos,2840,mobile payment
2023-02-22,Toronto,2507,cryptocurrency
2023-08-13,Bangkok,4019,mobile payment
2023-08-11,Rome,4160,credit card
2023-12-09,Rome,4529,cash
2023-09-30,Moscow,3834,cryptocurrency
2023-09-05,Paris,3428,credit card
2023-05-24,Bangkok,2799,bank transfer
2023-01-15,Dubai,4753,cryptocurrency
2023-06-13,Bangkok,335,bank transfer
2023-03-03,Rome,2647,cryptocurrency
2023-09-08,Paris,35,credit card
2023-08-06,Dubai,2362,voucher
2023-11-12,Toronto,3110,voucher
2023-02-21,New York,2295,cryptocurrency
2023-10-25,Paris,3572,credit card
2023-11-19,Amsterdam,1735,mobile payment
2023-05-04,Toronto,2373,voucher
2023-04-14,Mumbai,1546,cryptocurrency
2023-03-01,Cairo,2129,credit card
2023-07-18,Barcelona,3380,debit card
2023-11-26,Bangkok,3343,debit card
2023-05-08,Toronto,4373,voucher
2023-05-27,Toronto,951,credit card
2023-04-17,Istanbul,2832,cash
2023-02-16,Rome,1074,mobile payment
2023-09-15,London,1074,mobile payment
2023-03-15,Rome,3258,voucher
2023-10-30,Toronto,2701,cash
2023-06-21,New York,2843,bank transfer
2023-03-09,Istanbul,3583,voucher
2023-04-13,Toronto,3455,voucher
2023-05-22,Paris,1826,bank transfer
2023-09-29,Lagos,3492,debit card
2023-04-11,Tokyo,1005,credit card
2023-10-31,Cairo,771,debit card
2023-06-21,Paris,3394,bank transfer
2023-02-04,Seoul,2729,cryptocurrency
2023-02-04,New York,854,cash
2023-12-10,Seoul,3479,voucher
2023-09-13,São Paulo,4582,voucher
2023-04-23,London,3270,voucher
2023-01-19,São Paulo,1075,cryptocurrency
2023-01-03,Amsterdam,699,cryptocurrency
2023-06-20,São Paulo,3298,cash
2023-08-14,Berlin,957,bank transfer
2023-01-05,Berlin,2836,voucher
2023-12-11,Mumbai,4996,mobile payment
2023-09-11,Mexico City,1330,mobile payment
2023-12-18,Toronto,427,cash
2023-12-04,Amsterdam,2428,credit card
2023-01-03,Dubai,308,credit card
2023-02-18,Sydney,3104,bank transfer
2023-10-22,Amsterdam,2085,mobile payment
2023-09-10,London,330,credit card
2023-09-29,Paris,1800,credit card
2023-10-31,Bangkok,1552,cash
2023-02-10,Sydney,2864,voucher
2023-10-28,London,4050,credit card
2023-09-11,Berlin,2658,mobile payment
2023-06-22,Seoul,3489,bank transfer
2023-12-20,Rome,236,credit card
2023-10-22,São Paulo,796,cryptocurrency
2023-07-16,Berlin,3619,cash
2023-01-25,Sydney,3690,mobile payment
2023-04-28,Cairo,4083,cash
2023-06-30,New York,4485,cryptocurrency
2023-10-05,Sydney,3172,cash
2023-10-14,Mumbai,1425,credit card
2023-02-05,Istanbul,252,mobile payment
2023-07-21,Barcelona,703,cryptocurrency
2023-12-07,Bangkok,2427,cryptocurrency
2023-09-30,Seoul,4809,cash
2023-07-22,Sydney,3707,credit card
2023-07-18,Amsterdam,4719,voucher
2023-07-09,Sydney,2102,voucher
2023-02-09,Berlin,2055,cash
2023-12-18,Toronto,1732,credit card
2023-02-22,London,1630,mobile payment
2023-12-31,New York,2026,cryptocurrency
2023-07-15,São Paulo,771,mobile payment
2023-04-20,Lagos,2398,cryptocurrency
2023-07-05,Bangkok,1414,voucher
2023-07-05,Lagos,2444,mobile payment
2023-03-19,Moscow,1630,cash
2023-03-24,Seoul,4422,cash
2023-03-27,Bangkok,1636,cash
2023-06-17,Amsterdam,4349,bank transfer
2023-11-11,Berlin,2290,debit card
2023-08-20,Moscow,757,cryptocurrency
2023-09-04,Mexico City,4284,cryptocurrency
2023-03-13,Mumbai,1654,mobile payment
2023-02-25,Barcelona,1170,voucher
2023-02-13,Amsterdam,1410,debit card
2023-09-19,Mumbai,212,voucher
2023-10-08,Mumbai,2781,mobile payment
2023-04-27,Tokyo,2785,credit card
2023-02-24,Moscow,3522,voucher
2023-11-02,Bangkok,2568,cash
2023-05-10,Rome,1114,debit card
2023-06-26,Berlin,4138,mobile payment
2023-01-25,Bangkok,4304,debit card
2023-01-26,Dubai,2635,bank transfer
2023-12-06,Seoul,4876,bank transfer
2023-09-05,Moscow,621,cryptocurrency
2023-11-21,Barcelona,364,bank transfer
2023-03-05,Istanbul,1228,debit card
2023-03-30,Barcelona,1777,bank transfer
2023-08-15,Dubai,3085,cash
2023-11-01,Toronto,554,mobile payment
2023-11-12,Toronto,275,debit card
2023-05-01,Rome,3535,bank transfer
2023-04-25,Moscow,1436,bank transfer
2023-03-29,Amsterdam,2090,cash
2023-06-18,Toronto,4641,credit card
2023-03-23,New York,3741,debit card
2023-09-21,Lagos,2051,bank transfer
2023-01-06,Moscow,1605,bank transfer
2023-11-06,Bangkok,3586,bank transfer
2023-02-13,Sydney,2209,credit card
2023-05-14,Lagos,459,bank transfer
2023-03-18,Moscow,4469,credit card
2023-10-08,Lagos,4473,credit card
2023-06-03,Bangkok,1971,debit card
2023-03-27,Amsterdam,3402,credit card
2023-03-06,Sydney,2829,cash
2023-03-15,London,3840,bank transfer
2023-03-15,London,833,credit card
2023-06-29,Paris,3873,cryptocurrency
2023-05-11,Rome,2966,debit card
2023-09-25,Sydney,2128,cryptocurrency
2023-08-26,Paris,4254,credit card
2023-07-10,Moscow,2649,cryptocurrency
2023-08-06,Rome,4824,credit card
2023-10-01,Istanbul,4133,cryptocurrency
2023-07-26,Tokyo,951,debit card
2023-12-22,Lagos,2244,cash
2023-08-22,Paris,586,bank transfer
2023-02-02,Mumbai,1251,cryptocurrency
2023-08-04,Paris,1447,debit card
2023-08-28,Mumbai,928,cash
2023-11-15,Tokyo,3448,cash
2023-11-21,Paris,3940,credit card
2023-08-03,Dubai,585,voucher
2023-03-11,Tokyo,4102,debit card
2023-06-23,Mumbai,3607,credit card
2023-09-04,Paris,776,cryptocurrency
2023-08-23,Moscow,3072,voucher
2023-10-21,Dubai,3848,credit card
2023-08-24,Dubai,60,voucher
2023-11-09,Berlin,1145,debit card
2023-08-21,Cairo,4518,cryptocurrency
2023-02-28,Mexico City,4679,debit card
2023-05-23,Moscow,1821,bank transfer
2023-10-15,Barcelona,3158,cash
2023-11-27,Mumbai,4758,cryptocurrency
2023-02-08,Rome,21,cryptocurrency
2023-05-04,Toronto,4802,cryptocurrency
2023-04-24,London,2278,cash
2023-05-31,Tokyo,3815,cash
2023-01-16,Lagos,3864,credit card
2023-05-04,Rome,4970,bank transfer
2023-03-04,Seoul,3426,credit card
2023-08-02,Amsterdam,2461,voucher
2023-03-23,Toronto,4505,debit card
2023-06-03,Seoul,2116,cryptocurrency
2023-08-25,Moscow,3299,credit card
2023-07-03,São Paulo,3836,cryptocurrency
2023-05-31,Tokyo,1735,voucher
2023-09-25,Paris,3842,debit card
2023-01-16,Mumbai,2626,debit card
2023-11-01,Paris,1607,voucher
2023-11-02,Mexico City,2217,cash
2023-12-15,London,4561,mobile payment
2023-11-03,Berlin,152,debit card
2023-07-19,Cairo,2118,cryptocurrency
2023-01-29,Moscow,588,credit card
2023-10-26,Bangkok,753,cash
2023-01-02,Mexico City,519,cryptocurrency
2023-01-02,Bangkok,2150,debit card
2023-09-12,Berlin,464,cryptocurrency
2023-09-28,Berlin,295,mobile payment
2023-05-01,London,2358,voucher
2023-04-27,Seoul,1406,voucher
2023-12-13,New York,4422,credit card
2023-12-28,Sydney,1494,voucher
2023-04-20,Mumbai,288,credit card
2023-01-29,Seoul,3816,cash
2023-10-14,Bangkok,3854,cryptocurrency
2023-05-01,Cairo,1322,cryptocurrency
2023-06-15,Lagos,3173,mobile payment
2023-07-05,Bangkok,377,cash
2023-06-18,London,3813,bank transfer
2023-03-25,Bangkok,3491,mobile payment
2023-08-09,Paris,2239,cryptocurrency
2023-12-11,London,2043,mobile payment
2023-03-03,London,1427,voucher
2023-12-10,Tokyo,3226,credit card
2023-09-01,London,143,cash
2023-02-09,Toronto,3126,mobile payment
2023-03-06,Dubai,640,cash
2023-02-18,London,4921,cryptocurrency
2023-05-05,Dubai,3605,bank transfer
2023-04-29,Toronto,2771,debit card
2023-03-03,Rome,2234,mobile payment
2023-02-25,Cairo,3081,bank transfer
2023-10-31,Moscow,1224,mobile payment
2023-04-08,Cairo,861,mobile payment
2023-03-08,Amsterdam,3274,cash
2023-06-20,Istanbul,295,debit card
2023-08-02,Mexico City,3179,mobile payment
2023-09-14,Seoul,641,mobile payment
2023-11-21,Mexico City,2688,credit card
2023-08-09,Rome,1730,mobile payment
2023-06-19,Cairo,4093,cash
2023-06-02,Paris,2743,debit card
2023-09-27,Amsterdam,2607,mobile payment
2023-01-02,Barcelona,2628,voucher
2023-10-09,Mexico City,3667,bank transfer
2023-10-30,Toronto,543,bank transfer
2023-02-25,Mumbai,442,debit card
2023-05-19,Bangkok,3302,credit card
2023-10-11,Berlin,3261,cash
2023-06-26,Mumbai,2373,cash
2023-11-19,Tokyo,1309,voucher
2023-02-18,Cairo,4294,mobile payment
2023-09-26,Cairo,412,cash
2023-04-29,Bangkok,2866,voucher
2023-07-02,Amsterdam,1655,bank transfer
2023-01-06,Sydney,239,bank transfer
2023-03-11,Istanbul,4483,cash
2023-07-08,Rome,4844,cash
2023-07-16,Berlin,3833,cryptocurrency
2023-08-13,Moscow,722,cryptocurrency
2023-04-13,São Paulo,742,cryptocurrency
2023-02-13,Sydney,1584,mobile payment
2023-05-28,Moscow,789,cash
2023-03-21,Tokyo,2559,voucher
2023-12-05,Cairo,2013,cash
2023-08-18,Bangkok,974,voucher
2023-07-22,Istanbul,2020,mobile payment
2023-09-07,Mumbai,173,cash
2023-07-03,Mumbai,3488,cash
2023-01-06,Paris,2531,debit card
2023-07-26,Rome,1682,voucher
2023-02-28,Istanbul,1142,credit card
2023-04-08,Bangkok,2553,credit card
2023-08-26,Paris,945,credit card
2023-05-10,Bangkok,623,voucher
2023-09-20,Istanbul,4713,cash
2023-10-06,Toronto,310,credit card
2023-09-26,Istanbul,4773,credit card
2023-10-22,Istanbul,3884,voucher
2023-11-10,Dubai,3946,mobile payment
2023-06-12,London,1264,cryptocurrency
2023-05-12,Dubai,2843,bank transfer
2023-04-10,Berlin,80,mobile payment
2023-10-08,New York,3288,cryptocurrency
2023-01-13,Tokyo,3558,credit card
2023-10-03,Amsterdam,2644,debit card
2023-03-12,New York,2980,credit card
2023-01-25,Rome,4226,bank transfer
2023-05-14,Seoul,4376,bank transfer
2023-05-27,Dubai,1542,credit card
2023-10-19,Toronto,1032,bank transfer
2023-01-19,Cairo,4894,voucher
2023-09-16,London,2557,mobile payment
2023-06-26,Barcelona,3928,cryptocurrency
2023-04-21,Moscow,557,cash
2023-02-19,Istanbul,4269,cryptocurrency
2023-09-30,Seoul,2945,debit card
2023-06-10,Bangkok,1570,voucher
2023-03-13,Berlin,3250,cash
2023-11-02,Amsterdam,1108,cryptocurrency
2023-01-15,Seoul,1465,cryptocurrency
2023-08-10,Toronto,281,voucher
2023-08-02,Berlin,3954,cryptocurrency
2023-04-23,Amsterdam,4807,credit card
2023-03-21,Paris,3210,cryptocurrency
2023-03-29,Mumbai,4539,mobile payment
2023-04-28,São Paulo,3637,cryptocurrency
2023-01-30,Bangkok,1477,cash
2023-05-14,Barcelona,2394,voucher
2023-04-12,Moscow,4130,credit card
2023-05-12,London,1877,cash
2023-07-15,London,3849,credit card
2023-08-02,Dubai,1740,mobile payment
2023-07-21,Cairo,3671,credit card
2023-12-09,Mexico City,2052,bank transfer
2023-04-24,New York,3175,bank transfer
2023-03-06,Rome,578,mobile payment
2023-12-13,Barcelona,2403,cryptocurrency
2023-02-13,Barcelona,214,cash
2023-12-24,Mumbai,453,mobile payment
2023-09-14,São Paulo,2059,voucher
2023-10-07,Amsterdam,2687,bank transfer
2023-10-05,São Paulo,433,bank transfer
2023-03-15,Seoul,2819,mobile payment
2023-05-15,Mumbai,3006,cryptocurrency
2023-08-11,Mumbai,2106,cash
2023-06-02,London,2467,cash
2023-05-14,Tokyo,327,mobile payment
2023-10-06,São Paulo,4649,voucher
2023-01-12,Lagos,2680,bank transfer
2023-02-04,Mumbai,2683,mobile payment
2023-07-11,New York,1483,cash
2023-07-09,Berlin,2034,voucher
2023-12-30,Sydney,4724,credit card
2023-04-12,Toronto,429,voucher
2023-02-17,Barcelona,2963,bank transfer
2023-03-26,São Paulo,116,cryptocurrency
2023-11-21,Barcelona,4671,credit card
2023-01-21,Toronto,563,bank transfer
2023-06-02,Toronto,291,bank transfer
2023-06-08,Berlin,802,bank transfer
2023-05-12,Paris,1199,debit card
2023-05-10,Istanbul,2549,voucher
2023-01-13,Dubai,770,bank transfer
2023-09-07,Mumbai,832,cash
2023-09-15,Paris,4193,mobile payment
2023-02-02,Moscow,3071,mobile payment
2023-02-20,London,1039,mobile payment
2023-04-07,São Paulo,1240,cash
2023-04-09,Mumbai,4577,credit card
2023-09-19,Dubai,4069,voucher
2023-09-13,Seoul,3548,cryptocurrency
2023-10-31,Mumbai,2876,mobile payment
2023-03-28,Istanbul,4922,cryptocurrency
2023-06-24,Dubai,2466,cash
2023-12-21,São Paulo,1358,cash
2023-05-08,Cairo,4762,voucher
2023-08-23,Seoul,4591,debit card
2023-12-06,Lagos,714,bank transfer
2023-05-14,Istanbul,151,debit card
2023-10-29,São Paulo,1611,mobile payment
2023-12-21,Bangkok,4993,bank transfer
2023-12-02,Dubai,3263,cryptocurrency
2023-05-05,Istanbul,4564,bank transfer
2023-08-16,Cairo,1835,debit card
2023-02-26,Tokyo,17,voucher
2023-02-20,Rome,894,voucher
2023-03-16,Dubai,4485,mobile payment
2023-11-27,Barcelona,1138,cryptocurrency
2023-12-02,Paris,349,mobile payment
2023-05-11,Lagos,1585,bank transfer
2023-03-07,Tokyo,2269,voucher
2023-06-11,Paris,2364,mobile payment
2023-04-07,London,2934,bank transfer
2023-07-30,London,1967,voucher
2023-05-06,London,3516,cryptocurrency
2023-09-28,Cairo,2671,credit card
2023-10-28,Moscow,3686,credit card
2023-11-13,Cairo,4487,cash
2023-07-09,Tokyo,4903,credit card
2023-02-11,Seoul,1625,debit card
2023-11-08,Moscow,104,debit card
2023-10-02,Seoul,1273,mobile payment
2023-01-07,Tokyo,3601,voucher
2023-09-28,Moscow,3294,credit card
2023-12-29,Istanbul,4478,voucher
2023-12-29,Barcelona,19,bank transfer
2023-06-14,Dubai,1203,cash
2023-03-16,Lagos,434,mobile payment
2023-05-04,Amsterdam,760,credit card
2023-08-27,Mumbai,859,voucher
2023-12-20,Amsterdam,390,cryptocurrency
2023-02-13,Cairo,2991,debit card
2023-07-21,Mexico City,1145,bank transfer
2023-03-04,Istanbul,4726,debit card
2023-11-07,São Paulo,4796,credit card
2023-05-09,Berlin,1817,voucher
2023-12-31,Istanbul,4548,cash
2023-12-18,Toronto,511,cash
2023-10-18,Moscow,3718,mobile payment
2023-12-02,Lagos,27,credit card
2023-03-01,Istanbul,2925,cryptocurrency
2023-07-30,São Paulo,4385,cash
2023-12-24,Amsterdam,43,cryptocurrency
2023-06-02,Bangkok,1815,bank transfer
2023-04-14,New York,4896,mobile payment
2023-01-06,Bangkok,514,cash
2023-06-18,Moscow,4073,voucher
2023-06-10,Mexico City,1025,cash
2023-03-08,Mexico City,3459,credit card
2023-11-10,Lagos,4571,debit card
2023-08-14,Paris,3085,voucher
2023-02-26,Berlin,4081,cash
2023-06-15,Bangkok,3501,debit card
2023-02-18,Mumbai,3575,cryptocurrency
2023-08-01,São Paulo,2569,cryptocurrency
2023-07-13,Cairo,951,cash
2023-01-14,Dubai,2421,cash
2023-10-28,Lagos,3563,mobile payment
2023-02-04,Barcelona,2944,cash
2023-06-13,New York,2575,bank transfer
2023-04-20,Mexico City,4940,bank transfer
2023-07-15,London,3918,bank transfer
2023-09-18,Lagos,779,voucher
2023-04-25,Bangkok,980,debit card
2023-03-06,Bangkok,4743,cash
2023-09-04,Tokyo,1113,voucher
2023-07-04,Istanbul,2630,credit card
2023-03-13,São Paulo,2345,debit card
2023-04-05,Barcelona,3093,bank transfer
2023-02-15,Cairo,2164,cryptocurrency
2023-10-06,Seoul,2452,cryptocurrency
2023-10-09,Tokyo,2349,voucher
2023-09-05,Berlin,3764,cash
2023-01-06,Tokyo,3082,mobile payment
2023-02-16,Mexico City,2834,cryptocurrency
2023-04-27,Istanbul,2821,mobile payment
2023-03-22,Lagos,4973,mobile payment
2023-06-09,Sydney,4190,debit card
2023-09-27,Sydney,4947,mobile payment
2023-06-02,Berlin,975,mobile payment
2023-12-24,Paris,4513,voucher
2023-07-25,Amsterdam,368,voucher
2023-11-15,London,709,bank transfer
2023-07-15,São Paulo,930,mobile payment
2023-10-27,Berlin,3235,credit card
2023-03-17,London,1624,debit card
2023-03-14,Toronto,3027,voucher
2023-08-08,Mexico City,1951,cash
2023-11-15,Moscow,141,bank transfer
2023-11-30,Amsterdam,4936,voucher
2023-01-15,Cairo,2260,cash
2023-09-28,Barcelona,4062,cash
2023-11-25,Mumbai,1514,mobile payment
2023-12-18,Bangkok,630,cash
2023-06-29,New York,1628,debit card
2023-12-04,London,3273,voucher
2023-03-21,São Paulo,2215,voucher
2023-11-18,Seoul,4461,mobile payment
2023-03-13,Paris,2085,debit card
2023-10-11,Moscow,3106,mobile payment
2023-05-06,Sydney,3323,debit card
2023-11-28,Dubai,1222,credit card
2023-09-25,Bangkok,1789,cryptocurrency
2023-11-15,São Paulo,1561,debit card
2023-07-05,Istanbul,865,voucher
2023-10-11,Moscow,521,mobile payment
2023-12-19,Toronto,3832,cash
2023-10-16,Paris,2194,voucher
2023-09-06,New York,4371,bank transfer
2023-08-31,Amsterdam,1377,mobile payment
2023-02-17,London,4750,mobile payment
2023-07-13,Mexico City,4171,mobile payment
2023-05-29,Moscow,992,voucher
2023-12-05,Cairo,63,bank transfer
2023-02-10,London,3273,bank transfer
2023-11-22,Berlin,4330,voucher
2023-11-07,Seoul,902,mobile payment
2023-07-13,Cairo,3688,debit card
2023-05-17,Mexico City,2212,debit card
2023-09-29,Lagos,4415,bank transfer
2023-08-10,Moscow,693,voucher
2023-12-26,Bangkok,1783,credit card
2023-09-25,Toronto,3388,voucher
2023-04-15,Moscow,4763,cryptocurrency
2023-05-02,Sydney,45,bank transfer
2023-09-18,London,4048,credit card
2023-01-17,Seoul,207,cash
2023-01-15,Mexico City,2068,debit card
2023-03-16,Toronto,220,cryptocurrency
2023-04-24,Sydney,1312,mobile payment
2023-05-29,Barcelona,3957,cash
2023-08-18,Toronto,2084,bank transfer
2023-07-13,London,123,mobile payment
2023-11-21,Lagos,701,mobile payment
2023-07-17,São Paulo,2392,cryptocurrency
2023-02-06,Dubai,890,cash
2023-01-09,Amsterdam,720,cryptocurrency
2023-12-06,Berlin,2644,cryptocurrency
2023-03-01,Cairo,4498,mobile payment
2023-09-19,Tokyo,2953,debit card
2023-09-10,Seoul,3628,mobile payment
2023-12-28,Seoul,4547,bank transfer
2023-01-07,Istanbul,4535,mobile payment
2023-12-09,Mumbai,4012,cash
2023-08-11,Istanbul,2147,bank transfer
2023-12-24,Moscow,2701,cash
2023-07-11,Paris,2616,debit card
2023-02-05,Cairo,1672,cryptocurrency
2023-01-03,Rome,1589,cash
2023-12-05,Cairo,3385,voucher
2023-03-16,London,3468,cash
2023-05-26,Bangkok,1079,bank transfer
2023-08-20,Mexico City,1661,bank transfer
2023-02-03,Amsterdam,1069,credit card
2023-07-26,São Paulo,3727,mobile payment
2023-08-02,Dubai,4135,credit card
2023-02-04,Mexico City,754,mobile payment
2023-03-13,Rome,560,cryptocurrency
2023-04-30,Amsterdam,4735,cash
2023-10-28,Tokyo,3772,voucher
2023-07-22,Tokyo,4919,credit card
2023-07-05,Paris,210,mobile payment
2023-08-05,Rome,2615,mobile payment
2023-08-03,Lagos,4140,bank transfer
2023-04-09,London,3190,credit card
2023-04-27,New York,946,cryptocurrency
2023-12-07,Amsterdam,611,cash
2023-12-13,Toronto,3903,cash
2023-08-11,Mexico City,3642,bank transfer
2023-12-06,Mumbai,1904,voucher
2023-12-07,Moscow,1038,cash
2023-09-19,Moscow,2127,credit card
2023-02-03,Dubai,1234,cryptocurrency
2023-07-14,Mexico City,745,credit card
2023-08-25,Bangkok,4159,credit card
2023-04-25,London,1188,bank transfer
2023-09-01,Bangkok,4527,bank transfer
2023-12-18,Barcelona,2585,voucher
2023-12-03,Bangkok,4086,mobile payment
2023-06-25,Moscow,4175,cash
2023-02-16,Bangkok,3114,cryptocurrency
2023-12-18,Toronto,2014,debit card
2023-09-07,Sydney,2006,bank transfer
2023-05-23,London,4166,bank transfer
